"Product ","Category ","Tax Category ","Location ","Strain ","Member Discount ","Requires Weighing ","Medicated ","Requires Inventory ","Default Vendor ","Default Usable ","Cost Per Unit ","Inventory Type ","Quantity On Hand ","Metrc Weighable ","Rec Tax Category ","Medical Label ","Recreational Label "
"Citrus Sap PP 3.5g
","Economic Shelf","Tax Exempt","Apothca - Eugene","Citrus Sap","Yes","No","Yes","Yes","Southlake Farms","3.5","4.52","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Citrus Sap PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","Citrus Sap","Yes","No","Yes","Yes","Southlake Farms","7","9.03","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Citrus Sap TWAX JNT 1g","Infused Prerolls","Tax Exempt","Apothca - Eugene","Citrus Sap","Yes","No","Yes","Yes","DYME Distribution","1","8","Infused Prerolls","","No","Tax Standard","Default Label","Default Label"
"Clementine cart LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","16.2","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Clementine Punch Shatter 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Self Made Farms, LLC.","1","5","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Concrete Breath LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","9","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Concrete Slippers LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","9","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Cookie Chchip 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","LMJ Partners","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Cookie Chewy Spice 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","LMJ Partners","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Cookie Choco Chip 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Nova Paths","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Cookie Confetti Sprinkles 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","LMJ Partners","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Cookie Crinkle 50mg Single
","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Nova Paths","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Cookie Dawg cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","16.67","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Cookie Peanut Butter 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Nova Paths","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Cookie Snickerdoodle 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Nova Paths","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Copper Cush LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","8","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Cream-n-Tina BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Cream-n-Tina","Yes","No","Yes","Yes","Lifted","1","3.96","Bud","","No","Tax Standard","Default Label","Default Label"
"Cream N Tina JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Cream-n-Tina","Yes","No","Yes","Yes","Lifted","1","3.96","Bud","","No","Tax Standard","Default Label","Default Label"
"Cream N Tina PP 1g","Private Stash","Tax Exempt","Apothca - Eugene","Cream-n-Tina","Yes","No","Yes","Yes","Lifted","1","3.96","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Cream N Tina PP 3.5g","Private Stash","Tax Exempt","Apothca - Eugene","Cream-n-Tina","Yes","No","Yes","Yes","Lifted","3.5","13.86","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Cream N Tina PP 7g","Private Stash","Tax Exempt","Apothca - Eugene","Cream-n-Tina","Yes","No","Yes","Yes","Lifted","7","27.72","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Creamsicle Cart Dist 0.5g","Extracts","Tax Exempt","Apothca - Eugene","Mip","Yes","No","Yes","Yes","Lifted","0.5","3","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Crispy Fruity 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Fire Dept. Cannabis","0.05","2","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Crispy S'more 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Fire Dept. Cannabis","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Critical Cure BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Critical Cure","Yes","Yes","Yes","Yes","Buddies Wholesale LLC","","0.77","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Critical Cure JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Critical Cure","Yes","No","Yes","Yes","Buddies Wholesale LLC","1.2","0.92","Bud","","No","Tax Standard","Default Label","Default Label"
"Critical Mass TWAX JNT 1g","Infused Prerolls","Tax Exempt","Apothca - Eugene","Critical Cure","Yes","No","Yes","Yes","Fire Dept. Cannabis","1","6","Infused Prerolls","","No","Tax Standard","Default Label","Default Label"
"Critical Orange Punch BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Critical Orange Punch","Yes","Yes","Yes","Yes","Green Sea Distribution","","0.44","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Critical Orange Punch PP 28g","Special","Tax Exempt","Apothca - Eugene","Critical Orange Punch","Yes","No","Yes","Yes","Green Sea Distribution","28","12.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Crumbled Lime Cart LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","18","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Cuban Linx BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Cuban Linx","Yes","Yes","Yes","Yes","Frontier Farms
","1","2.64","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Cuban Linx PP 1g","Premium Shelf","Tax Exempt","Apothca - Eugene","Cuban Linx","Yes","No","Yes","Yes","Frontier Farms
","1","2.64","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Cuban Linx PP 3.5g","Premium Shelf","Tax Exempt","Apothca - Eugene","Cuban Linx","Yes","No","Yes","Yes","Frontier Farms
","3.5","9.25","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Cuban Linx PP 7g","Premium Shelf","Tax Exempt","Apothca - Eugene","Cuban Linx","Yes","No","Yes","Yes","Frontier Farms
","7","18.5","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Cuvve Cookies Crumble 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","8","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Deadhead OG Cart Co2 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","1","8","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Deadhead OG JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","Deadhead OG","Yes","No","Yes","Yes","Green Sea Distribution","5","8","Bud","","No","Tax Standard","Default Label","Default Label"
"Dedication OG BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Dedication OG","Yes","Yes","Yes","Yes","Self Made Farms, LLC.","","1.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Dedication OG JNT 0.5g 5pk","Prerolls","Tax Exempt","Apothca - Eugene","Dedication OG","Yes","No","Yes","Yes","Self Made Farms, LLC.","2.5","3.3","Bud","","No","Tax Standard","Default Label","Default Label"
"Dedication OG JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Dedication OG","Yes","No","Yes","Yes","Self Made Farms, LLC.","1.2","1.58","Bud","","No","Tax Standard","Default Label","Default Label"
"Diamond OG BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Diamond OG","Yes","Yes","Yes","Yes","DYME Distribution","","2.75","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Diamond OG JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Diamond OG","Yes","No","Yes","Yes","DYME Distribution","1.2","3.3","Bud","","No","Tax Standard","Default Label","Default Label"
"Dog Walker JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Dog Walker","Yes","No","Yes","Yes","Self Made Farms, LLC.","0.6","0.79","Bud","","No","Tax Standard","Default Label","Default Label"
"Dole Whip cart DIST 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","CWD Northwest, Inc.
","1","10","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Dosi Face BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Dosi Face","Yes","Yes","Yes","Yes","Self Made Farms, LLC.","","2.42","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Dosi Face JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Dosi Face","Yes","No","Yes","Yes","Self Made Farms, LLC.","0.6","1.45","Bud","","No","Tax Standard","Default Label","Default Label"
"Dosi Face PP 1g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Dosi Face","Yes","No","Yes","Yes","Self Made Farms, LLC.","1","2.42","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Dosi Face PP 3.5g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Dosi Face","Yes","No","Yes","Yes","Self Made Farms, LLC.","3.5","8.47","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Dosi Face PP 7g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Dosi Face","Yes","No","Yes","Yes","Self Made Farms, LLC.","7","16.94","Bud","","Yes","Tax Standard","Default Label","Default Label"
"DosiFace PP 28g","Bulk Shake","Tax Exempt","Apothca - Eugene","Dosi Face","Yes","No","Yes","Yes","Self Made Farms, LLC.","28","9.24","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Double Dream BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Double Dream","Yes","Yes","Yes","Yes","Green Sea Distribution","","0.55","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Double Dream JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Double Dream","Yes","No","Yes","Yes","Epoch Farms","0.6","0.33","Bud","","No","Tax Standard","Default Label","Default Label"
"Double Dream JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Double Dream","Yes","No","Yes","Yes","Sugar Shack Farms","1","1.25","Bud","","No","Tax Standard","Default Label","Default Label"
"Double Dream Live Dist cart 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","14.4","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Double Dream PP 1g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Double Dream","Yes","No","Yes","Yes","Epoch Farms","1","2.2","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Double Dream PP 3.5g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Double Dream","Yes","No","Yes","Yes","Epoch Farms","3.5","7.7","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Double Dream PP 7g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Double Dream","Yes","No","Yes","Yes","Epoch Farms","7","15.4","Bud","","Yes","Tax Standard","Default Label","Default Label"
"DR Who x Banana Split JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","DR Who","Yes","No","Yes","Yes","Bishop Orchards","5","10","Bud","","No","Tax Standard","Default Label","Default Label"
"Dr. Who JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","Dr. Who","Yes","No","Yes","Yes","Bishop Orchards","5","8","Bud","","No","Tax Standard","Default Label","Default Label"
"Dream Lotus PAX Pod 0.5g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","0.5","12.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Dream Queen dist cart 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Drops Blackberry 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Blackberry 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Blueberry 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Blueberry 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","3.5","Cannabinoid edibles","36","No","Tax Standard","Default Label","Default Label"
"Drops Cherry 50mg 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Cherry 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Cranberry 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Cranberry 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Lemon 50mg 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Lemon 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Lime 50mg 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Lime 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Orange 50mg 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Orange 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Raspberry 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Raspberry 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Strawberry 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Strawberry 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Watermelon 50mg 10pk","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Drops Watermelon 50mg Single","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","0.05","2.5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Duct Tape BLUNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Duct Tape","Yes","No","Yes","Yes","Fire Dept. Cannabis","1","3","Bud","","No","Tax Standard","Default Label","Default Label"
"Duct Tape BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Duct Tape","Yes","Yes","Yes","Yes","Sugar Shack Farms","","2.75","Bud","10.5","No","Tax Standard","Default Label","Default Label"
"Duct Tape LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","9","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Duct Tape PP 1g","Private Stash","Tax Exempt","Apothca - Eugene","Duct Tape","Yes","No","Yes","Yes","Sugar Shack Farms","1","3.62","Bud","30","Yes","Tax Standard","Default Label","Default Label"
"Duct Tape PP 3.5g","Private Stash","Tax Exempt","Apothca - Eugene","Duct Tape","Yes","No","Yes","Yes","Sugar Shack Farms","3.5","12.67","Bud","43","Yes","Tax Standard","Default Label","Default Label"
"Duct Tape PP 7g","Private Stash","Tax Exempt","Apothca - Eugene","Duct Tape","Yes","No","Yes","Yes","Sugar Shack Farms","7","25.34","Bud","16","Yes","Tax Standard","Default Label","Default Label"
"Duct Tape TWAX JNT 0.5g","Infused Prerolls","Tax Exempt","Apothca - Eugene","Duct Tape","Yes","No","Yes","Yes","Fire Dept. Cannabis","0.95","5","Infused Prerolls","","No","Tax Standard","Default Label","Default Label"
"Durban Poison BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Durban Poison","Yes","Yes","Yes","Yes","Green Sea Distribution","","0.44","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Dutch Haze LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","8","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Dutch Treat Cart Dist 0.5g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Lifted","0.5","3","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Dutch Treat JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Dutch Treat","Yes","No","Yes","Yes","Sugar Shack Farms","1","1.25","Bud","","No","Tax Standard","Default Label","Default Label"
"El Jefe cart DIST 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Dreamfield Transfer Services","1","16.5","Cannabinoid extract in liquid form","","No","Tax Exempt","Default Label","Default Label"
"Elixer Green Tea Matcha 50mg","Infused Beverage","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Crown B Alchemy","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Elixer Lemon Lime 50mg","Infused Beverage","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Crown B Alchemy","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Elixer Peach Mango 50mg","Infused Beverage","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Crown B Alchemy","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Elixer Pomegranate Cherry 50mg","Infused Beverage","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Crown B Alchemy","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Elixer Wild Berry Acai 1:1","Infused Beverage","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Crown B Alchemy","0.05","6","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Elixer Wild Berry Acai 50mg","Infused Beverage","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Crown B Alchemy","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Elvis Athena LR 1g","Extracts","Tax Exempt","Apothca - Eugene","","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","9","Cannabinoid extract in solid form","16","No","Tax Standard","Default Label","Default Label"
"Fancy Girl BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Fancy Girl","Yes","Yes","Yes","Yes","Karmic Elevation Cannabis","","4.18","Bud","","No","Tax Standard","Default Label","Default Label"
"Fancy Girl JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Fancy Girl","Yes","No","Yes","Yes","Karmic Elevation Cannabis","1","4.18","Bud","","No","Tax Standard","Default Label","Default Label"
"Fancy Girl PP 1g","Premium Shelf","Tax Exempt","Apothca - Eugene","Fancy Girl","Yes","No","Yes","Yes","Karmic Elevation Cannabis","1","4.18","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Fancy Girl PP 3.5g","Premium Shelf","Tax Exempt","Apothca - Eugene","Fancy Girl","Yes","No","Yes","Yes","Karmic Elevation Cannabis","3.5","14.63","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Fancy Girl PP 7g","Premium Shelf","Tax Exempt","Apothca - Eugene","Fancy Girl","Yes","No","Yes","Yes","Karmic Elevation Cannabis","7","29.26","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Fire OG BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Fire OG","Yes","Yes","Yes","Yes","Miracle Wholesale","","0.88","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Fire OG Cart Co2 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","1","8","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Fire OG JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Fire OG","Yes","No","Yes","Yes","Miracle Wholesale","1.2","1.06","Bud","","No","Tax Standard","Default Label","Default Label"
"Fire OG PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","Fire OG","Yes","No","Yes","Yes","Miracle Wholesale","1","0.88","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Fire OG PP 3.5g","Economic Shelf","Tax Exempt","Apothca - Eugene","Fire OG","Yes","No","Yes","Yes","Miracle Wholesale","3.5","3.08","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Fire OG PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","Fire OG","Yes","No","Yes","Yes","Miracle Wholesale","7","6.16","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Frosted Lime BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Frosted Lime","Yes","Yes","Yes","Yes","The Dub Wholesale","","1.1","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Frosted Lime PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","Frosted Lime","Yes","No","Yes","Yes","The Dub Wholesale","1","1.1","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Frosted Lime PP 3.5g","Economic Shelf","Tax Exempt","Apothca - Eugene","Frosted Lime","Yes","No","Yes","Yes","The Dub Wholesale","3.5","3.85","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Frosted Lime PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","Frosted Lime","Yes","No","Yes","Yes","The Dub Wholesale","7","7.7","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Fudge Choco Mint 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","LMJ Partners","0.05","4.25","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Fudge Indica Chill 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","LMJ Partners","0.05","3.25","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Fudge Peanut Butter 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","LMJ Partners","0.05","3.25","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Fudge Peppermint 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","LMJ Partners","0.05","4.25","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Fudge Sativa Charge 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","LMJ Partners","0.05","3.25","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Fukushima JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","Fukushima","Yes","No","Yes","Yes","Bishop Orchards","5","8","Bud","","No","Tax Standard","Default Label","Default Label"
"Gelato 33 BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Gelato 33","Yes","Yes","Yes","Yes","Bishop Orchards","","0.44","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Gelato 33 JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Gelato 33","Yes","No","Yes","Yes","DYME Distribution","1","1.32","Bud","","No","Tax Standard","Default Label","Default Label"
"Gelato 33 PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","Gelato 33","Yes","No","Yes","Yes","Bishop Orchards","1","0.44","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Gelato 33 PP 3.5g","Economic Shelf","Tax Exempt","Apothca - Eugene","Gelato 33","Yes","No","Yes","Yes","Bishop Orchards","3.5","1.54","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Gelato 33 PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","Gelato 33","Yes","No","Yes","Yes","Bishop Orchards","7","3.08","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Gelato cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","16.2","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"GG#4 cart Co2 1g","Cartridges","Tax Exempt","Apothca - Eugene","GG#4","Yes","No","Yes","Yes","Green Sea Distribution","1","8","Cannabinoid extract in liquid form","29","No","Tax Standard","Default Label","Default Label"
"GG#4 Cart Live Dist 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"GG#4 Cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","18","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"GG#4 JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","GG#4","Yes","No","Yes","Yes","Green Sea Distribution","5","8","Bud","","No","Tax Standard","Default Label","Default Label"
